n	∆_{(n)}
 	p_{n+1} - p_n
1163	10
1164	6
1165	2
1166	10
1167	2
1168	4
1169	2
1170	22
1171	2
1172	4
1173	6
1174	6
1175	12
1176	6
1177	14
1178	10
1179	12
1180	6
1181	8
1182	4
1183	36
1184	14
1185	12
1186	6
1187	4
1188	6
1189	2
1190	12
1191	6
1192	12
1193	16
1194	2
1195	10
1196	8
1197	22
1198	2
1199	12
1200	6
1201	4
1202	6
1203	18
1204	2
1205	12
1206	6
1207	4
1208	12
1209	8
1210	6
1211	12
1212	4
1213	6
1214	12
1215	6
1216	2
1217	12
1218	12
1219	4
1220	14
1221	6
1222	16
1223	6
1224	2
1225	10
1226	8
1227	18
1228	6
1229	34
1230	2
1231	28
1232	2
1233	22
1234	6
1235	2
1236	10
1237	12
1238	2
1239	6
1240	4
1241	8
1242	22
1243	6
1244	2
1245	10
1246	8
1247	4
1248	6
1249	8
1250	4
1251	12
1252	18
1253	12
1254	20
1255	4
1256	6
1257	6
1258	8
1259	4
1260	2
1261	16
1262	12
1263	2
1264	10
1265	8
1266	10
1267	2
1268	4
1269	6
1270	14
1271	12
1272	22
1273	8
1274	28
1275	2
1276	4
1277	20
1278	4
1279	2
1280	4
1281	14
1282	10
1283	12
1284	2
1285	12
1286	16
1287	2
1288	28
1289	8
1290	22
1291	8
1292	4
1293	6
1294	6
1295	14
1296	4
1297	8
1298	12
1299	6
1300	6
1301	4
1302	20
1303	4
1304	18
1305	2
1306	12
1307	6
1308	4
1309	6
1310	14
1311	18
1312	10
1313	8
1314	10
1315	32
1316	6
1317	10
1318	6
1319	6
1320	2
1321	6
1322	16
1323	6
1324	2
1325	12
1326	6
1327	28
1328	2
1329	10
1330	8
1331	16
1332	6
1333	8
1334	6
1335	10
1336	24
1337	20
1338	10
1339	2
1340	10
1341	2
1342	12
1343	4
1344	6
1345	20
1346	4
1347	2
1348	12
1349	18
1350	10
1351	2
1352	10
1353	2
1354	4
1355	20
1356	16
1357	26
1358	4
1359	8
1360	6
1361	4
1362	12
1363	6
1364	8
1365	12
1366	12
1367	6
1368	4
1369	8
1370	22
1371	2
1372	16
1373	14
1374	10
1375	6
1376	12
1377	12
1378	14
1379	6
1380	4
1381	20
1382	4
1383	12
1384	6
1385	2
1386	6
1387	6
1388	16
1389	8
1390	22
1391	2
1392	28
1393	8
1394	6
1395	4
1396	20
1397	4
1398	12
1399	24
1400	20
1401	4
1402	8
1403	10
1404	2
1405	16
1406	2
1407	12
1408	12
1409	34
1410	2
1411	4
1412	6
1413	12
1414	6
1415	6
1416	8
1417	6
1418	4
1419	2
1420	6
1421	24
1422	4
1423	20
1424	10
1425	6
1426	6
1427	14
1428	4
1429	6
1430	6
1431	2
1432	12
1433	6
1434	10
1435	2
1436	10
1437	6
1438	20
1439	4
1440	26
1441	4
1442	2
1443	6
1444	22
1445	2
1446	24
1447	4
1448	6
1449	2
1450	4
1451	6
1452	24
1453	6
1454	8
1455	4
1456	2
1457	34
1458	6
1459	8
1460	16
1461	12
1462	2
1463	10
1464	2
1465	10
1466	6
1467	8
1468	4
1469	8
1470	12
1471	22
1472	6
1473	14
1474	4
1475	26
1476	4
1477	2
1478	12
1479	10
1480	8
1481	4
1482	8
1483	12
1484	4
1485	14
1486	6
1487	16
1488	6
1489	8
1490	4
1491	6
1492	6
1493	8
1494	6
1495	10
1496	12
1497	2
1498	6
1499	6
1500	16
1501	8
1502	6
1503	6
1504	12
1505	10
1506	2
1507	6
1508	18
1509	4
1510	6
1511	6
1512	6
1513	12
1514	18
1515	8
1516	6
1517	10
1518	8
1519	18
1520	4
1521	14
1522	6
1523	18
1524	10
1525	8
1526	10
1527	12
1528	2
1529	6
1530	12
1531	12
1532	36
1533	4
1534	6
1535	8
1536	4
1537	6
1538	2
1539	4
1540	18
1541	12
1542	6
1543	8
1544	6
1545	6
1546	4
1547	18
1548	2
1549	4
1550	2
1551	24
1552	4
1553	6
1554	6
1555	14
1556	30
1557	6
1558	4
1559	6
1560	12
1561	6
1562	20
1563	4
1564	8
1565	4
1566	8
1567	6
1568	6
1569	4
1570	30
1571	2
1572	10
1573	12
1574	8
1575	10
1576	8
1577	24
1578	6
1579	12
1580	4
1581	14
1582	4
1583	6
1584	2
1585	28
1586	14
1587	16
1588	2
1589	12
1590	6
1591	4
1592	20
1593	10
1594	6
1595	6
1596	6
1597	8
1598	10
1599	12
1600	14
1601	10
1602	14
1603	16
1604	14
1605	10
1606	14
1607	6
1608	16
1609	6
1610	8
1611	6
1612	16
1613	20
1614	10
1615	2
1616	6
1617	4
1618	2
1619	4
1620	12
1621	2
1622	10
1623	2
1624	6
1625	22
