n	Σ(1/n^2)
342	1.642014384
343	1.642022848
344	1.642031312
345	1.642039657
346	1.642048001
347	1.642056346
348	1.642064571
349	1.642072797
350	1.642080903
351	1.642089009
352	1.642097116
353	1.642105103
354	1.642113090
355	1.642121077
356	1.642128944
357	1.642136812
358	1.642144561
359	1.642152309
360	1.642160058
361	1.642167687
362	1.642175317
363	1.642182946
364	1.642190456
365	1.642197967
366	1.642205477
367	1.642212868
368	1.642220259
369	1.642227650
370	1.642234921
371	1.642242193
372	1.642249465
373	1.642256618
374	1.642263770
375	1.642270923
376	1.642277956
377	1.642284989
378	1.642292023
379	1.642298937
380	1.642305851
381	1.642312765
382	1.642319560
383	1.642326355
384	1.642333150
385	1.642339945
386	1.642346621
387	1.642353296
388	1.642359972
389	1.642366529
390	1.642373085
391	1.642379642
392	1.642386198
393	1.642392635
394	1.642399073
395	1.642405510
396	1.642411828
397	1.642418146
398	1.642424464
399	1.642430782
400	1.642436981
401	1.642443180
402	1.642449379
403	1.642455578
404	1.642461658
405	1.642467737
406	1.642473817
407	1.642479897
408	1.642485857
409	1.642491817
410	1.642497778
411	1.642503738
412	1.642509580
413	1.642515421
414	1.642521262
415	1.642527103
416	1.642532825
417	1.642538548
418	1.642544270
419	1.642549992
420	1.642555714
421	1.642561316
422	1.642566919
423	1.642572522
424	1.642578125
425	1.642583609
426	1.642589092
427	1.642594576
428	1.642600060
429	1.642605543
430	1.642610908
431	1.642616272
432	1.642621636
433	1.642627001
434	1.642632365
435	1.642637610
436	1.642642856
437	1.642648101
438	1.642653346
439	1.642658591
440	1.642663717
441	1.642668843
442	1.642673969
443	1.642679095
444	1.642684221
445	1.642689228
446	1.642694235
447	1.642699242
448	1.642704248
449	1.642709255
450	1.642714143
451	1.642719030
452	1.642723918
453	1.642728806
454	1.642733693
455	1.642738581
456	1.642743349
457	1.642748117
458	1.642752886
459	1.642757654
460	1.642762423
461	1.642767072
462	1.642771721
463	1.642776370
464	1.642781019
465	1.642785668
466	1.642790318
467	1.642794847
468	1.642799377
469	1.642803907
470	1.642808437
471	1.642812967
472	1.642817497
473	1.642821908
474	1.642826319
475	1.642830729
476	1.642835140
477	1.642839551
478	1.642843962
479	1.642848372
480	1.642852664
481	1.642856956
482	1.642861247
483	1.642865539
484	1.642869830
485	1.642874122
486	1.642878413
487	1.642882586
488	1.642886758
489	1.642890930
490	1.642895103
491	1.642899275
492	1.642903447
493	1.642907619
494	1.642911673
495	1.642915726
496	1.642919779
497	1.642923832
498	1.642927885
499	1.642931938
500	1.642935991
501	1.642939925
502	1.642943859
503	1.642947793
504	1.642951727
505	1.642955661
506	1.642959595
507	1.642963529
508	1.642967463
509	1.642971277
510	1.642975092
