n	Σ(1/n^2)
342	1.642014361
343	1.642022861
344	1.642031311
345	1.642039713
346	1.642048066
347	1.642056371
348	1.642064628
349	1.642072838
350	1.642081002
351	1.642089119
352	1.642097189
353	1.642105214
354	1.642113194
355	1.642121129
356	1.642129020
357	1.642136866
358	1.642144668
359	1.642152427
360	1.642160144
361	1.642167817
362	1.642175448
363	1.642183037
364	1.642190584
365	1.642198090
366	1.642205556
367	1.642212980
368	1.642220364
369	1.642227709
370	1.642235013
371	1.642242278
372	1.642249505
373	1.642256692
374	1.642263841
375	1.642270953
376	1.642278026
377	1.642285062
378	1.642292060
379	1.642299022
380	1.642305947
381	1.642312836
382	1.642319689
383	1.642326506
384	1.642333288
385	1.642340035
386	1.642346746
387	1.642353423
388	1.642360066
389	1.642366674
390	1.642373249
391	1.642379790
392	1.642386298
393	1.642392772
394	1.642399214
395	1.642405623
396	1.642412000
397	1.642418345
398	1.642424658
399	1.642430939
400	1.642437189
401	1.642443408
402	1.642449596
403	1.642455753
404	1.642461880
405	1.642467977
406	1.642474043
407	1.642480080
408	1.642486088
409	1.642492066
410	1.642498014
411	1.642503934
412	1.642509826
413	1.642515688
414	1.642521523
415	1.642527329
416	1.642533108
417	1.642538858
418	1.642544582
419	1.642550278
420	1.642555947
421	1.642561589
422	1.642567204
423	1.642572793
424	1.642578355
425	1.642583892
426	1.642589402
427	1.642594887
428	1.642600346
429	1.642605779
430	1.642611188
431	1.642616571
432	1.642621929
433	1.642627263
434	1.642632572
435	1.642637857
436	1.642643117
437	1.642648354
438	1.642653566
439	1.642658755
440	1.642663920
441	1.642669062
442	1.642674181
443	1.642679276
444	1.642684349
445	1.642689399
446	1.642694426
447	1.642699431
448	1.642704413
449	1.642709374
450	1.642714312
451	1.642719228
452	1.642724123
453	1.642728996
454	1.642733848
455	1.642738678
456	1.642743487
457	1.642748275
458	1.642753043
459	1.642757789
460	1.642762515
461	1.642767220
462	1.642771906
463	1.642776570
464	1.642781215
465	1.642785840
466	1.642790445
467	1.642795030
468	1.642799596
469	1.642804142
470	1.642808669
471	1.642813177
472	1.642817666
473	1.642822135
474	1.642826586
475	1.642831018
476	1.642835432
477	1.642839827
478	1.642844203
479	1.642848562
480	1.642852902
481	1.642857224
482	1.642861529
483	1.642865815
484	1.642870084
485	1.642874335
486	1.642878569
487	1.642882786
488	1.642886985
489	1.642891167
490	1.642895332
491	1.642899480
492	1.642903611
493	1.642907725
494	1.642911823
495	1.642915904
496	1.642919969
497	1.642924017
498	1.642928049
499	1.642932066
500	1.642936066
501	1.642940050
502	1.642944018
503	1.642947970
504	1.642951907
505	1.642955828
506	1.642959734
507	1.642963624
508	1.642967499
509	1.642971359
510	1.642975204
